Column1
"country;team_size;industry;external_ partners;project_distribution;work_setup;working_method;Role;relationship_team_customer;communication_inside_team;communication_team_and_other_teams;team_meetings;user_feedback;v_28;top1_problem;top2_problem;top3_problem;top4_problem;top5_problem"
"Spain;20;Logistics;Yes;Yes;Mostly from home;Hybrid;Architect;Very good;Very good;Neutral;Weekly;Bi-weekly;Agile;Communication flaws between the project and the customer;Changes in requirements not communicated;Inconsistent requirements;Technically unfeasible requirements;Lack of commitment to shared goals within project"
"Spain;12;Other (please specify);Yes;Yes;Almost completely from home;Rather agile;Developer;Neutral;Very good;Very good;Almost daily;Almost daily;not quoted;Gold plating (implementation of features without corresponding requirements);Targets are moving (changing goals"
"Turkey;25;Finance;Yes;No;Almost completely from home;Hybrid;Architect;Good;Good;Good;Monthly;Almost daily;Agile;We do not have enough time to carry out tasks;Communication flaws within the project team;Our team's responsibilities are unclear;No use of standard format for documenting requirements;Weak knowledge about customer's application domain"
"Turkey;30;Finance;Yes;Yes;Almost completely from home;Rather agile;Developer;Good;Neutral;Bad;Almost daily;Bi-weekly;Agile;Insufficient support by project lead;No use of standard format for documenting requirements;Internal or external constraints are not considered;We do not have enough time to carry out tasks;Technically unfeasible requirements"
"Spain;20;Aerospace;Yes;Yes;Approximately half on-site and half from home;Plan-driven;Project Lead / Project Manager;Good;Very good;Very good;Weekly;Bi-weekly;not quoted;Inconsistent requirements;Lack of communication between project team and end users;Requirements are not traceable;Targets are moving (changing goals"
"Spain;5;Other (please specify);No;Yes;Almost completely from home;Agile;Developer;Good;Very good;Good;Weekly;Weekly;Agile;Gold plating (implementation of features without corresponding requirements);Changes in requirements not communicated;Incomplete or hidden requirements;Requirements are not traceable;Underspecified requirements that are too abstract and allow for various interpretations"
"Spain;15;Other (please specify);Yes;Yes;Mostly from home;Hybrid;Marketing;Good;Good;Good;Weekly;Never;not quoted;Communication flaws between the project and the customer;We do not have enough time to carry out tasks;Lack of commitment to shared goals within project;Incomplete or hidden requirements;Gold plating (implementation of features without corresponding requirements)"
"Spain;30;Healthcare;No;Yes;Approximately half on-site and half from home;Hybrid;Other (please specify);Neutral;Good;Good;Almost daily;Other (please specify);not quoted;Our requirements engineers lack enthusiasm or commitment to do requirements analysis;Our team's responsibilities are unclear;Communication flaws within the project team;Changes in requirements not communicated;Weak knowledge about customer's application domain"
"Spain;9;Other (please specify);No;Yes;Almost completely from home;Agile;Developer;Very good;Good;Good;Almost daily;Weekly;Agile;Communication flaws between the project and the customer;Communication flaws within the project team;Weak knowledge about customer's application domain;Lack of trust between our project team members;Lack of trust between our project team members and stakeholder or customer"
"Spain;15;Healthcare;Yes;Yes;Almost completely from home;Rather agile;Project Lead / Project Manager;Good;Neutral;Neutral;Weekly;Weekly;Agile;Communication flaws within the project team;Technically unfeasible requirements;Lack of communication between project team and end users;We do not have enough time to carry out tasks;Inconsistent requirements"
"Spain;400;Other (please specify);Yes;Yes;Approximately half on-site and half from home;Plan-driven;Architect;Neutral;Bad;Bad;Weekly;I don't know;not quoted;Communication channels used in our project are ineffective;Communication flaws within the project team;Communication flaws between the project and the customer;Requirements are not traceable;Insufficient support by project lead"
"Spain;10;Other (please specify);No;Yes;Almost completely from home;Agile;Architect;Good;Good;Very good;Weekly;Monthly;Agile;Targets are moving (changing goals"
"Italy;10;Security;Yes;Yes;Approximately half on-site and half from home;Rather agile;Developer;Good;Very good;Good;Almost daily;Monthly;Agile;Incomplete or hidden requirements;Gold plating (implementation of features without corresponding requirements);Underspecified requirements that are too abstract and allow for various interpretations;Our requirements engineers lack enthusiasm or commitment to do requirements analysis;Unclear or unmeasurable non-functional requirements"
"Portugal;10;e-Commerce;No;Yes;Almost completely from home;Agile;Developer;Bad;Good;Bad;Almost daily;Monthly;Agile;Communication flaws between the project and the customer;Lack of communication between project team and end users;Incomplete or hidden requirements;Targets are moving (changing goals"
"Turkey;6;Other (please specify);Yes;Yes;Almost completely from home;I don't know;Developer;Very good;Good;Good;Weekly;Almost daily;Agile;Lack of commitment to shared goals within project;Communication flaws between the project and the customer;Inconsistent requirements;Lack of communication between project team and end users;Communication flaws within the project team"
"Turkey;20;Avionics;Yes;Yes;Almost completely on-site;I don't know;Other (please specify);Neutral;Neutral;Bad;Weekly;I don't know;not quoted;Communication flaws between the project and the customer;Communication channels used in our project are ineffective;Changes in requirements not communicated;Incomplete or hidden requirements;Targets are moving (changing goals"
"Nigeria;3;Energy;No;No;Approximately half on-site and half from home;Plan-driven;Developer;Good;Very good;Bad;Bi-weekly;Never;not quoted;Communication flaws between the project and the customer;Communication channels used in our project are ineffective;Unclear or unmeasurable non-functional requirements;Inconsistent requirements;Technically unfeasible requirements"
"Turkey;4;Manufacturing;Yes;No;Mostly from home;Hybrid;Business Analyst;Neutral;Very good;Good;Bi-weekly;Monthly;Agile;Changes in requirements not communicated;Inconsistent requirements;Targets are moving (changing goals"
"Nigeria;12;Education;Yes;Yes;Mostly from home;Agile;Project Lead / Project Manager;Neutral;Good;Neutral;Bi-weekly;Monthly;Agile;Communication flaws within the project team;Lack of communication between project team and end users;Incomplete or hidden requirements;Targets are moving (changing goals"
"Nigeria;6;Finance;Yes;Yes;Mostly from home;Hybrid;Developer;Good;Good;Good;Almost daily;Almost daily;Agile;Technically unfeasible requirements;Inconsistent requirements;Incomplete or hidden requirements;Targets are moving (changing goals"
"Turkey;1;Manufacturing;No;No;Approximately half on-site and half from home;Hybrid;Business Analyst;Neutral;Good;Neutral;Bi-weekly;Monthly;not quoted;Communication flaws within the project team;Unclear or unmeasurable non-functional requirements;Changes in requirements not communicated;Weak knowledge about customer's application domain;Weak access to customer needs and / or (internal) business information"
"Nigeria;4;Agriculture;No;No;Mostly from home;Plan-driven;Developer;Very good;Very good;Very good;Weekly;Almost daily;not quoted;We do not have enough time to carry out tasks;No use of standard format for documenting requirements;Communication flaws between the project and the customer;Language barriers;Problems with terminology"
"Nigeria;100;Agriculture;No;Yes;Almost completely on-site;Agile;Product Manager;Good;Good;Very good;Bi-weekly;Weekly;Agile;Problems with terminology;Requirements are not traceable;Communication channels used in our project are ineffective;Insufficient support by project lead;Changes in requirements not communicated"
"Turkey;5;e-Commerce;No;Yes;Almost completely from home;Rather agile;Project Lead / Project Manager;Good;Good;Neutral;Bi-weekly;Bi-weekly;Agile;Inconsistent requirements;No use of standard format for documenting requirements;Incomplete or hidden requirements;Weak access to customer needs and / or (internal) business information;Unclear or unmeasurable non-functional requirements"
"Turkey;18;Education;Yes;Yes;Approximately half on-site and half from home;Plan-driven;Developer;Very good;Very good;Good;Weekly;I don't know;not quoted;Lack of communication between project team and end users;Lack of trust between our project team members and stakeholder or customer;Insufficient support by project lead;Communication channels used in our project are ineffective;Technically unfeasible requirements"
"Turkey;30;Telecommunication;Yes;Yes;Almost completely from home;Agile;Business Analyst;Good;Very good;Good;Almost daily;Almost daily;Agile;Internal or external constraints are not considered;Incomplete or hidden requirements;Gold plating (implementation of features without corresponding requirements);We do not have enough time to carry out tasks;Unclear or unmeasurable non-functional requirements"
"Spain;10;Human resources;No;Yes;Mostly from home;Rather agile;Product Manager;Good;Very good;Good;Almost daily;Bi-weekly;Agile;Our team's responsibilities are unclear;Lack of communication between project team and end users;Weak knowledge about customer's application domain;Lack of trust between our project team members;Weak access to customer needs and / or (internal) business information"
"Estonia;10;Finance;No;Yes;Mostly on-site;Hybrid;Product Manager;Very good;Good;Very good;Bi-weekly;Monthly;Agile;Inconsistent requirements;Changes in requirements not communicated;We do not have enough time to carry out tasks;Weak access to customer needs and / or (internal) business information;Weak knowledge about customer's application domain"
"United States;28;Automotive;Yes;Yes;Mostly from home;Agile;Product Owner;Very good;Good;Good;Almost daily;Bi-weekly;Agile;Language barriers;Problems with terminology;Inconsistent requirements;Incomplete or hidden requirements;Lack of communication between project team and end users"
"Switzerland;20;Finance;Yes;Yes;Mostly from home;Rather agile;Product Owner;Good;Good;Bad;Weekly;Monthly;Agile;Requirements are not traceable;Incomplete or hidden requirements;Unclear or unmeasurable non-functional requirements;Communication channels used in our project are ineffective;Weak knowledge about customer's application domain"
"Pakistan;10;e-Government;No;No;Mostly on-site;Hybrid;Requirements Engineer;Good;Good;Neutral;Other (Please specify);Other (please specify);not quoted;Communication flaws between the project and the customer;Changes in requirements not communicated;Targets are moving (changing goals"
"Spain;12;Finance;No;No;Mostly on-site;Agile;Developer;Very good;Very good;Very good;Almost daily;Weekly;Agile;Targets are moving (changing goals"
"Germany;20;Automotive;Yes;Yes;Approximately half on-site and half from home;Rather plan-driven;Product Manager;Neutral;Good;Bad;Bi-weekly;Monthly;not quoted;Inconsistent requirements;Targets are moving (changing goals"
"Austria;12;Railway;No;Yes;Approximately half on-site and half from home;Rather agile;Developer;Neutral;Good;Neutral;Almost daily;I don't know;Agile;Incomplete or hidden requirements;Lack of commitment to shared goals within project;Inconsistent requirements;Weak access to customer needs and / or (internal) business information;Language barriers"
"Sweden;50;Telecommunication;Yes;Yes;Approximately half on-site and half from home;Rather plan-driven;Architect;Good;Good;Good;Weekly;Other (please specify);not quoted;Communication flaws between the project and the customer;Targets are moving (changing goals"
"United States;4;Automotive;No;Yes;Almost completely from home;Agile;Product Manager;Good;Very good;Good;Almost daily;Weekly;Agile;Targets are moving (changing goals"
"Spain;12;Education;Yes;Yes;Almost completely from home;Rather agile;Product Manager;Good;Good;Good;Almost daily;Monthly;Agile;Communication flaws within the project team;Insufficient support by project lead;We do not have enough time to carry out tasks;Targets are moving (changing goals"
"Australia;12;e-Commerce;Yes;Yes;Almost completely from home;Agile;Developer;Good;Good;Neutral;Almost daily;Weekly;Agile;We do not have enough time to carry out tasks;An important stakeholder is not represented in our project;Lack of communication between project team and end users;Incomplete or hidden requirements;Weak knowledge about customer's application domain"
"United States;2;Enterprise resource planning;No;No;Almost completely on-site;Rather plan-driven;Developer;Good;Neutral;Good;Weekly;Bi-weekly;not quoted;Communication flaws within the project team;Our requirements engineers lack enthusiasm or commitment to do requirements analysis;Communication channels used in our project are ineffective;Lack of trust between our project team members and stakeholder or customer;Changes in requirements not communicated"
"Italy;6;Security;No;No;Approximately half on-site and half from home;Rather plan-driven;Project Lead / Project Manager;Good;Good;Good;Weekly;Monthly;Agile;Underspecified requirements that are too abstract and allow for various interpretations;Gold plating (implementation of features without corresponding requirements);Weak access to customer needs and / or (internal) business information;Lack of trust between our project team members;No use of standard format for documenting requirements"
"Italy;25;e-Government;Yes;Yes;Almost completely from home;Hybrid;Architect;Good;Good;Neutral;Weekly;Monthly;Agile;Incomplete or hidden requirements;Gold plating (implementation of features without corresponding requirements);Please make a selection;Our requirements engineers lack enthusiasm or commitment to do requirements analysis;Internal or external constraints are not considered"
"Italy;30;Public sector;Yes;Yes;Almost completely on-site;Hybrid;Project Lead / Project Manager;Good;Good;Good;Weekly;Weekly;Agile;Communication flaws between the project and the customer;Communication channels used in our project are ineffective;Communication flaws within the project team;Insufficient support by project lead;Inconsistent requirements"
"Italy;20;Public sector;Yes;Yes;Almost completely on-site;Hybrid;Developer;Neutral;Neutral;Bad;Weekly;Weekly;Agile;Communication flaws within the project team;Insufficient support by project lead;We do not have enough time to carry out tasks;Our team's responsibilities are unclear;Internal or external constraints are not considered"
"Italy;10;e-Government;Yes;Yes;Approximately half on-site and half from home;Agile;Customer;Neutral;Good;Bad;Bi-weekly;Weekly;Agile;Incomplete or hidden requirements;Inconsistent requirements;We do not have enough time to carry out tasks;Weak knowledge about customer's application domain;Underspecified requirements that are too abstract and allow for various interpretations"
"Italy;4;e-Commerce;Yes;Yes;Almost completely on-site;Agile;Developer;Good;Neutral;Good;Weekly;Monthly;Agile;Communication flaws within the project team;Insufficient support by project lead;Changes in requirements not communicated;Incomplete or hidden requirements;Communication flaws between the project and the customer"
"Italy;10;Healthcare;Yes;Yes;Approximately half on-site and half from home;Rather agile;Requirements Engineer;Very good;Good;Very bad;Almost daily;Weekly;Agile;An important stakeholder is not represented in our project;We do not have enough time to carry out tasks;Weak knowledge about customer's application domain;Weak access to customer needs and / or (internal) business information;Targets are moving (changing goals"
"United States;8;Other (please specify);I don't know;Yes;Approximately half on-site and half from home;Agile;Developer;Neutral;Good;Good;Weekly;Never;not quoted;Targets are moving (changing goals"
"Italy;15;Public sector;Yes;Yes;Approximately half on-site and half from home;Agile;Architect;Good;Good;Neutral;Almost daily;Almost daily;Agile;Communication flaws within the project team;Changes in requirements not communicated;Communication flaws between the project and the customer;Insufficient support by project lead;Underspecified requirements that are too abstract and allow for various interpretations"
"United States;30;Security;No;Yes;Almost completely on-site;Hybrid;Other (please specify);Good;Good;Neutral;Almost daily;Monthly;Agile;We do not have enough time to carry out tasks;Communication channels used in our project are ineffective;Lack of communication between project team and end users;No use of standard format for documenting requirements;Communication flaws within the project team"
"Italy;4;Public sector;No;Yes;Almost completely from home;Hybrid;Developer;Good;Good;Good;Weekly;Almost daily;Agile;Incomplete or hidden requirements;Communication flaws within the project team;Changes in requirements not communicated;We do not have enough time to carry out tasks;Our team's responsibilities are unclear"
"Italy;6;Avionics;Yes;No;Mostly on-site;Hybrid;Architect;Very good;Good;Good;Weekly;Almost daily;Agile;Communication channels used in our project are ineffective;Communication flaws within the project team;Lack of communication between project team and end users;Incomplete or hidden requirements;Requirements are not traceable"
"Italy;4;Education;Yes;No;Approximately half on-site and half from home;Hybrid;Project Lead / Project Manager;Neutral;Good;Good;Almost daily;Weekly;Agile;Underspecified requirements that are too abstract and allow for various interpretations;Incomplete or hidden requirements;Changes in requirements not communicated;Targets are moving (changing goals"
"Italy;7;Public sector;Yes;Yes;Mostly on-site;Hybrid;Developer;Very good;Very good;Good;Almost daily;Other (please specify);not quoted;Incomplete or hidden requirements;Requirements are not traceable;Targets are moving (changing goals"
"Italy;5;Public sector;Yes;Yes;Approximately half on-site and half from home;Rather agile;Project Lead / Project Manager;Good;Good;Neutral;Bi-weekly;Weekly;not quoted;Incomplete or hidden requirements;Internal or external constraints are not considered;Problems with terminology;Changes in requirements not communicated;Inconsistent requirements"
"United States;3;Enterprise resource planning;Yes;Yes;Almost completely from home;Agile;Developer;Neutral;Neutral;Good;Weekly;I don't know;Agile;No use of standard format for documenting requirements;Requirements are not traceable;Communication channels used in our project are ineffective;Targets are moving (changing goals"
"Italy;30;Finance;Yes;Yes;Approximately half on-site and half from home;Hybrid;Scrum Master;Good;Good;Neutral;Almost daily;Weekly;Agile;Communication flaws between the project and the customer;Incomplete or hidden requirements;Weak access to customer needs and / or (internal) business information;Unclear or unmeasurable non-functional requirements;Changes in requirements not communicated"
"Italy;10;Avionics;Yes;Yes;Mostly on-site;Plan-driven;Requirements Engineer;Neutral;Neutral;Neutral;Weekly;I don't know;not quoted;Communication flaws within the project team;Technically unfeasible requirements;Lack of trust between our project team members and stakeholder or customer;Our requirements engineers lack enthusiasm or commitment to do requirements analysis;No use of standard format for documenting requirements"
"United States;8;Other (please specify);No;Yes;Almost completely from home;Agile;Other (please specify);Very good;Very good;Good;Almost daily;Almost daily;Agile;We do not have enough time to carry out tasks;Targets are moving (changing goals"
"Norway;20;Insurance;Yes;Yes;Approximately half on-site and half from home;Rather agile;Architect;Good;Very good;Bad;Almost daily;Other (please specify);Agile;Lack of commitment to shared goals within project;Insufficient support by project lead;Lack of trust between our project team members and stakeholder or customer;Communication flaws between the project and the customer;Language barriers"
"Italy;15;Energy;Yes;Yes;Approximately half on-site and half from home;Agile;Project Lead / Project Manager;Good;Good;Good;Bi-weekly;Weekly;Agile;Changes in requirements not communicated;Targets are moving (changing goals"
"United States;5;Manufacturing;Yes;Yes;Almost completely from home;Agile;Developer;Good;Good;Good;Weekly;Weekly;Agile;We do not have enough time to carry out tasks;Targets are moving (changing goals"
"Canada;10;Agriculture;Yes;Yes;Almost completely from home;Rather agile;Product Manager;Good;Good;Bad;Almost daily;Monthly;Agile;Inconsistent requirements;Weak knowledge about customer's application domain;Lack of communication between project team and end users;Targets are moving (changing goals"
"Italy;100;Healthcare;Yes;Yes;Mostly from home;Agile;Developer;Good;Good;Neutral;Almost daily;Weekly;Agile;Inconsistent requirements;Requirements are not traceable;Weak knowledge about customer's application domain;No use of standard format for documenting requirements;Targets are moving (changing goals"
"United States;2;Aerospace;No;No;Approximately half on-site and half from home;Rather plan-driven;Developer;Neutral;Good;Good;Bi-weekly;Other (please specify);Agile;Communication flaws within the project team;We do not have enough time to carry out tasks;Gold plating (implementation of features without corresponding requirements);Insufficient support by project lead;Lack of communication between project team and end users"
"United States;6;Education;No;No;Approximately half on-site and half from home;Hybrid;Requirements Engineer;Good;Good;Good;Weekly;Monthly;not quoted;Incomplete or hidden requirements;Targets are moving (changing goals"
"United States;66;Other (please specify);No;No;Approximately half on-site and half from home;Hybrid;Project Lead / Project Manager;Good;Good;Neutral;Weekly;I don't know;not quoted;Incomplete or hidden requirements;Lack of trust between our project team members and stakeholder or customer;Weak knowledge about customer's application domain;Our team's responsibilities are unclear;Weak access to customer needs and / or (internal) business information"
"United States;6;Security;No;No;Approximately half on-site and half from home;Agile;Architect;Very good;Very good;Very good;Almost daily;Bi-weekly;Agile;Targets are moving (changing goals"
"United States;5-15 Depending project;e-Government;Yes;Yes;Other (Please specify);Plan-driven;Developer;Very good;Very good;Good;Weekly;Weekly;not quoted;Incomplete or hidden requirements;Underspecified requirements that are too abstract and allow for various interpretations;No use of standard format for documenting requirements;Inconsistent requirements;Requirements are not traceable"
"Canada;5;Enterprise resource planning;Yes;Yes;Mostly from home;Hybrid;Product Manager;Good;Neutral;Neutral;Weekly;Monthly;Agile;Communication flaws between the project and the customer;Insufficient support by project lead;An important stakeholder is not represented in our project;Underspecified requirements that are too abstract and allow for various interpretations;Unclear or unmeasurable non-functional requirements"
"United States;5;e-Commerce;No;Yes;Approximately half on-site and half from home;Hybrid;Developer;Bad;Good;Good;Almost daily;Monthly;Agile;Communication flaws within the project team;Lack of communication between project team and end users;Changes in requirements not communicated;Inconsistent requirements;Requirements are not traceable"
"United Kingdom;7;Other (please specify);No;Yes;Approximately half on-site and half from home;Agile;Project Lead / Project Manager;Very good;Very good;Very good;Almost daily;Monthly;Agile;No use of standard format for documenting requirements;Inconsistent requirements;Problems with terminology;Insufficient support by project lead;Unclear or unmeasurable non-functional requirements"
"United States;4;Other (please specify);No;No;Mostly from home;Plan-driven;Developer;Very good;Very good;Neutral;Bi-weekly;Never;Agile;Lack of communication between project team and end users;Communication channels used in our project are ineffective;Weak knowledge about customer's application domain;Lack of trust between our project team members;Our team's responsibilities are unclear"
"Spain;6;Healthcare;No;No;Almost completely on-site;Agile;Architect;Very good;Very good;Good;Weekly;Monthly;Agile;Incomplete or hidden requirements;Unclear or unmeasurable non-functional requirements;Technically unfeasible requirements;Underspecified requirements that are too abstract and allow for various interpretations;Weak knowledge about customer's application domain"
"Spain;20;Aerospace;No;No;Mostly on-site;Agile;Architect;Good;Good;Good;Almost daily;Almost daily;Agile;Communication flaws between the project and the customer;Lack of communication between project team and end users;Communication channels used in our project are ineffective;Targets are moving (changing goals"
"Spain;8;Avionics;I don't know;Yes;Mostly from home;Hybrid;Developer;Good;Very good;Good;Weekly;I don't know;not quoted;Lack of communication between project team and end users;Communication flaws between the project and the customer;Communication flaws within the project team;Insufficient support by project lead;We do not have enough time to carry out tasks"
"Germany;13;Logistics;Yes;Yes;Mostly from home;Rather agile;Business Analyst;Very good;Good;Very good;Almost daily;Other (please specify);Agile;Weak access to customer needs and / or (internal) business information;Unclear or unmeasurable non-functional requirements;Targets are moving (changing goals"
"United Kingdom;8;Other (please specify);Yes;Yes;Mostly from home;Agile;Architect;Very good;Very good;Very good;Almost daily;Weekly;Agile;Targets are moving (changing goals"
"Estonia;15;Other (please specify);No;Yes;Almost completely on-site;Rather agile;Architect;Neutral;Good;Neutral;Almost daily;Bi-weekly;Agile;Our requirements engineers lack enthusiasm or commitment to do requirements analysis;Lack of communication between project team and end users;Incomplete or hidden requirements;Changes in requirements not communicated;Targets are moving (changing goals"
"Turkey;12;Other (please specify);Yes;Yes;Mostly from home;Hybrid;Project Lead / Project Manager;Good;Neutral;Good;Weekly;Weekly;not quoted;Incomplete or hidden requirements;Inconsistent requirements;Targets are moving (changing goals"
"United States;2;Logistics;No;No;Almost completely on-site;Rather plan-driven;Business Analyst;Good;Very good;Neutral;Weekly;Weekly;Agile;Weak access to customer needs and / or (internal) business information;Targets are moving (changing goals"
"United States;7;Education;Yes;Yes;Mostly on-site;Agile;Developer;Good;Good;Neutral;Weekly;Weekly;Agile;Lack of communication between project team and end users;Changes in requirements not communicated;Inconsistent requirements;We do not have enough time to carry out tasks;Lack of commitment to shared goals within project"
"United States;2;Education;No;No;Approximately half on-site and half from home;Agile;Developer;Very good;Good;Good;Almost daily;Weekly;Agile;Communication flaws between the project and the customer;Inconsistent requirements;Changes in requirements not communicated;Weak knowledge about customer's application domain;Targets are moving (changing goals"
"United Kingdom;12;Enterprise resource planning;No;No;Mostly from home;Agile;Business Analyst;Very good;Very good;Very good;Bi-weekly;Weekly;Agile;Communication flaws between the project and the customer;Lack of communication between project team and end users;Targets are moving (changing goals"
"United Kingdom;16;Security;No;No;Approximately half on-site and half from home;Hybrid;Project Lead / Project Manager;Good;Good;Neutral;Almost daily;Monthly;Agile;Communication flaws between the project and the customer;Targets are moving (changing goals"
"Turkey;51;Finance;Yes;Yes;Mostly from home;Agile;Other (please specify);Bad;Bad;Bad;Almost daily;Monthly;Agile;Inconsistent requirements;Lack of communication between project team and end users;Insufficient support by project lead;Weak knowledge about customer's application domain;We do not have enough time to carry out tasks"
"Germany;3;Public transportation;No;No;Mostly from home;Hybrid;Developer;Good;Very good;Very good;Almost daily;Almost daily;Agile;We do not have enough time to carry out tasks;Targets are moving (changing goals"
"Germany;8;Manufacturing;No;Yes;Approximately half on-site and half from home;Hybrid;Developer;Good;Bad;Good;Almost daily;Monthly;Agile;Communication flaws within the project team;Incomplete or hidden requirements;Weak knowledge about customer's application domain;Unclear or unmeasurable non-functional requirements;No use of standard format for documenting requirements"
"United States;5;Other (please specify);Yes;Yes;Mostly on-site;Hybrid;Other (please specify);Very good;Very good;Good;Weekly;Weekly;not quoted;Targets are moving (changing goals"
"Spain;5;Finance;Yes;Yes;Approximately half on-site and half from home;Agile;Product Owner;Very good;Very good;Very good;Almost daily;Monthly;Agile;Communication flaws within the project team;Communication flaws between the project and the customer;Lack of communication between project team and end users;Changes in requirements not communicated;Requirements are not traceable"
"Spain;20;Healthcare;Yes;Yes;Approximately half on-site and half from home;Rather plan-driven;Developer;Neutral;Very good;Very good;Weekly;Never;not quoted;Technically unfeasible requirements;Internal or external constraints are not considered;Our team's responsibilities are unclear;Changes in requirements not communicated;Requirements are not traceable"
"Switzerland;70;e-Government;Yes;Yes;Mostly on-site;Plan-driven;Architect;Bad;Bad;Bad;Weekly;Monthly;Agile;Weak knowledge about customer's application domain;Internal or external constraints are not considered;Underspecified requirements that are too abstract and allow for various interpretations;Unclear or unmeasurable non-functional requirements;Changes in requirements not communicated"
