team_customer_relationship,failed_documentation,team_communication,industry,common_problem,country,team_size,project_distribution,work,project_method,meeting_frequency,user_feedback_frequency
Yes,1,Security,Targets are moving,Germany,200,Yes,Approximately half on-site and half from home,Plan-driven,Weekly,Never,Yes,
Yes,1,Education,Communication flaws within the project team,Spain,120,Yes,Almost completely from home,Rather agile,Almost daily,Monthly,Yes,,
Yes,1,e-Commerce,We do not have enough time to carry out tasks,Australia,120,Yes,Almost completely from home,Agile,Almost daily,Weekly,Yes,,
Yes,1,Enterprise resource planning,Communication flaws within the project team,United States,20,No,Almost completely on-site,Rather plan-driven,Weekly,Bi-weekly,No,,
Yes,1,Security,Underspecified requirements that are too abstract and allow for various interpretations,Italy,60,No,Approximately half on-site and half from home,Rather plan-driven,Weekly,Monthly,No,,
Yes,1,e-Government,Incomplete or hidden requirements,Italy,250,Yes,Almost completely from home,Hybrid,Weekly,Monthly,Yes,,
Yes,1,Public sector,Communication flaws between the project and the customer,Italy,300,Yes,Almost completely on-site,Hybrid,Weekly,Weekly,Yes,,
Yes,1,Public sector,Communication flaws within the project team,Italy,200,Yes,Almost completely on-site,Hybrid,Weekly,Weekly,Yes,,
Yes,1,e-Government,Incomplete or hidden requirements,Italy,100,Yes,Approximately half on-site and half from home,Agile,Bi-weekly,Weekly,Yes,,
Yes,1,e-Commerce,Communication flaws within the project team,Italy,40,Yes,Almost completely on-site,Agile,Weekly,Monthly,Yes,,
Yes,1,Healthcare,An important stakeholder is not represented in our project,Italy,100,Yes,Approximately half on-site and half from home,Rather agile,Almost daily,Weekly,Yes,,
Yes,1,Other (please specify),Targets are moving,United States,80,Yes,Approximately half on-site and half from home,Agile,Weekly,Never,I don't know,
Yes,1,Public sector,Communication flaws within the project team,Italy,150,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily,Yes,,
Yes,1,Security,We do not have enough time to carry out tasks,United States,300,Yes,Almost completely on-site,Hybrid,Almost daily,Monthly,No,,
Yes,1,Public sector,Incomplete or hidden requirements,Italy,40,Yes,Almost completely from home,Hybrid,Weekly,Almost daily,No,,
Yes,1,Avionics,Communication channels used in our project are ineffective,Italy,60,No,Mostly on-site,Hybrid,Weekly,Almost daily,Yes,,
Yes,1,Education,Underspecified requirements that are too abstract and allow for various interpretations,Italy,40,No,Approximately half on-site and half from home,Hybrid,Almost daily,Weekly,Yes,,
Yes,1,Public sector,Incomplete or hidden requirements,Italy,70,Yes,Mostly on-site,Hybrid,Almost daily,Other (please specify),Yes,,
Yes,1,Public sector,Incomplete or hidden requirements,Italy,50,Yes,Approximately half on-site and half from home,Rather agile,Bi-weekly,Weekly,Yes,,
Yes,1,Enterprise resource planning,No use of standard format for documenting requirements,United States,30,Yes,Almost completely from home,Agile,Weekly,I don't know,Yes,,
Yes,1,Finance,Communication flaws between the project and the customer,Italy,300,Yes,Approximately half on-site and half from home,Hybrid,Almost daily,Weekly,Yes,,
Yes,1,Avionics,Communication flaws within the project team,Italy,100,Yes,Mostly on-site,Plan-driven,Weekly,I don't know,Yes,,
Yes,1,Other (please specify),We do not have enough time to carry out tasks,United States,80,Yes,Almost completely from home,Agile,Almost daily,Almost daily,No,,
Yes,1,Insurance,Lack of commitment to shared goals within project,Norway,200,Yes,Approximately half on-site and half from home,Rather agile,Almost daily,Other (please specify),Yes,,
Yes,1,Energy,Changes in requirements not communicated,Italy,150,Yes,Approximately half on-site and half from home,Agile,Bi-weekly,Weekly,Yes,,
Yes,1,Manufacturing,We do not have enough time to carry out tasks,United States,50,Yes,Almost completely from home,Agile,Weekly,Weekly,Yes,,
Yes,1,Agriculture,Inconsistent requirements,Canada,100,Yes,Almost completely from home,Rather agile,Almost daily,Monthly,Yes,,
Yes,1,Healthcare,Inconsistent requirements,Italy,1000,Yes,Mostly from home,Agile,Almost daily,Weekly,Yes,,
Yes,1,Aerospace,Communication flaws within the project team,United States,20,No,Approximately half on-site and half from home,Rather plan-driven,Bi-weekly,Other (please specify),No,,
Yes,1,Education,Incomplete or hidden requirements,United States,60,No,Approximately half on-site and half from home,Hybrid,Weekly,Monthly,No,,
Yes,1,Other (please specify),Incomplete or hidden requirements,United States,660,No,Approximately half on-site and half from home,Hybrid,Weekly,I don't know,No,,
Yes,1,Security,Targets are moving,United States,60,No,Approximately half on-site and half from home,Agile,Almost daily,Bi-weekly,No,
Yes,5,e-Government,Incomplete or hidden requirements,United States,100,Yes,Other (Please specify),Plan-driven,Weekly,Weekly,Yes,,
Yes,5,Enterprise resource planning,Communication flaws between the project and the customer,Canada,50,Yes,Mostly from home,Hybrid,Weekly,Monthly,Yes,,
Yes,1,e-Commerce,Communication flaws within the project team,United States,50,Yes,Approximately half on-site and half from home,Hybrid,Almost daily,Monthly,No,,
Yes,5,Other (please specify),No use of standard format for documenting requirements,United Kingdom,70,Yes,Approximately half on-site and half from home,Agile,Almost daily,Monthly,No,,
Yes,1,Other (please specify),Lack of communication between project team and end users,United States,40,No,Mostly from home,Plan-driven,Bi-weekly,Never,No,,
Yes,1,Healthcare,Incomplete or hidden requirements,Spain,60,No,Almost completely on-site,Agile,Weekly,Monthly,No,,
Yes,1,Aerospace,Communication flaws between the project and the customer,Spain,200,No,Mostly on-site,Agile,Almost daily,Almost daily,No,,
Yes,1,Avionics,Lack of communication between project team and end users,Spain,80,Yes,Mostly from home,Hybrid,Weekly,I don't know,I don't know,,
Yes,1,Logistics,Weak access to customer needs and / or (internal) business information,Germany,130,Yes,Mostly from home,Rather agile,Almost daily,Other (please specify),Yes,,
Yes,1,Other (please specify),Targets are moving,United Kingdom,80,Yes,Mostly from home,Agile,Almost daily,Weekly,Yes,
Yes,1,Other (please specify),Our requirements engineers lack enthusiasm or commitment to do requirements analysis,Estonia,150,Yes,Almost completely on-site,Rather agile,Almost daily,Bi-weekly,No,,
No,5,Other (please specify),Incomplete or hidden requirements,Turkey,120,Yes,Mostly from home,Hybrid,Weekly,Weekly,Yes,,
Yes,1,Logistics,Weak access to customer needs and / or (internal) business information,United States,20,No,Almost completely on-site,Rather plan-driven,Weekly,Weekly,No,,
Yes,1,Education,Lack of communication between project team and end users,United States,70,Yes,Mostly on-site,Agile,Weekly,Weekly,Yes,,
Yes,1,Education,Communication flaws between the project and the customer,United States,20,No,Approximately half on-site and half from home,Agile,Almost daily,Weekly,No,,
Yes,1,Enterprise resource planning,Communication flaws between the project and the customer,United Kingdom,120,No,Mostly from home,Agile,Bi-weekly,Weekly,No,,
Yes,1,Security,Communication flaws between the project and the customer,United Kingdom,160,No,Approximately half on-site and half from home,Hybrid,Almost daily,Monthly,No,,
Yes,1,Finance,Inconsistent requirements,Turkey,510,Yes,Mostly from home,Agile,Almost daily,Monthly,Yes,,
Yes,1,Public transportation,We do not have enough time to carry out tasks,Germany,30,No,Mostly from home,Hybrid,Almost daily,Almost daily,No,,
Yes,1,Manufacturing,Communication flaws within the project team,Germany,80,Yes,Approximately half on-site and half from home,Hybrid,Almost daily,Monthly,No,,
Yes,1,Other (please specify),Targets are moving,United States,50,Yes,Mostly on-site,Hybrid,Weekly,Weekly,Yes,
Yes,1,Finance,Communication flaws within the project team,Spain,50,Yes,Approximately half on-site and half from home,Agile,Almost daily,Monthly,Yes,,
Yes,1,Healthcare,Technically unfeasible requirements,Spain,200,Yes,Approximately half on-site and half from home,Rather plan-driven,Weekly,Never,Yes,,
Yes,1,e-Government,Weak knowledge about customer's application domain,Switzerland,700,Yes,Mostly on-site,Plan-driven,Weekly,Monthly,Yes,,
Yes,1,Energy,Weak access to customer needs and / or (internal) business information,Turkey,50,Yes,Approximately half on-site and half from home,Rather plan-driven,Almost daily,Bi-weekly,Yes,,
Yes,1,Security,Targets are moving,United Kingdom,,Yes,Approximately half on-site and half from home,Rather agile,Almost daily,Other (please specify),No,
Yes,1,Finance,Communication flaws within the project team,Netherlands,100,Yes,Almost completely from home,Agile,Almost daily,Weekly,Yes,,
Yes,1,Insurance,Targets are moving,United Kingdom,550,Yes,Mostly from home,Hybrid,Almost daily,Weekly,Yes,
Yes,1,Insurance,Language barriers,United Kingdom,200,No,Almost completely from home,Agile,Almost daily,Other (please specify),No,,
Yes,1,Other (please specify),Communication flaws between the project and the customer,Spain,40,Yes,Approximately half on-site and half from home,Hybrid,Weekly,Weekly,Yes,,
Yes,1,Finance,Inconsistent requirements,United States,40,Yes,Almost completely from home,Hybrid,Almost daily,Weekly,Yes,,
Yes,1,Other (please specify),Incomplete or hidden requirements,Argentina,80,Yes,Almost completely from home,Rather agile,Almost daily,I don't know,No,,
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,2,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily,,Yes
