team_customer_relationship,team_communication,assumption,failed_documentation,role,industry,common_problem,country,team_size,project_distribution,work,project_method,meeting_frequency,user_feedback_frequency,external_partners,top2,top3,top4,top5,requirements_elicitation,elicitation_techniques,explicit_distinction,requirements_documentation,no_documentation_reasons,non_functional_requirements,communication_with_other_teams,doc_willing,doc_unwilling_but_produce,doc_dont_produce,requirements_testing_alignment
5,5,Ask the customer/end user/or both what should be assumed before proceeding.,No,Business Analyst,Other (please specify),Targets are moving,Turkey,4,Yes,Almost completely from home,Agile,Bi-weekly,Bi-weekly,Yes,Incomplete or hidden requirements,Changes in requirements not communicated,Internal or external constraints are not considered,Please make a selection,Agile: we elicit and / or refine requirements in several iterations.,Interviews,Functional properties of the system/ Goals/ Rules , business rules)/ System behaviour/ Usage scenarios/ User interface(s)/ Acceptance criteria,,Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),4,Agree,Agree,Disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
3,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Games engineering,Targets are moving,Turkey,25,Yes,Almost completely from home,Agile,Almost daily,Never,Yes,Communication flaws between the project and the customer,Underspecified requirements that are too abstract and allow for various interpretations,Incomplete or hidden requirements,Please make a selection,Agile: we elicit and / or refine requirements in several iterations.,Design Thinking/ Observations/ Usage data analysis (e.g. event logs),Architectural constraints/ Functional properties of the system/ Goals/ Acceptance criteria,User stories/ Acceptance Criteria (Given-When-Then),,Performance efficiency (e.g.- time behaviour- resource utilisation- capacity),4,Neutral,Strongly agree,Strongly disagree,We define acceptance criteria and tests for requirements
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Finance,Weak knowledge about customer's application domain,Turkey,10,Yes,Almost completely from home,Agile,Almost daily,I don't know,Yes,Insufficient support by project lead,Communication flaws within the project team,Communication flaws between the project and the customer,Lack of commitment to shared goals within project,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Risk analyses/ Prototyping/ Observations/ Usage data analysis (e.g. event logs),Development process aspects/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,My project lead told me not to bother.,Compatibility (e.g.- co-existence- interoperability)/ Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Portability (e.g.- adaptability- installability- replaceability)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics)/ External or internal constraints (e.g.- laws),4,Agree,Strongly agree,Disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements/ We derive tests from system models
4,5,Make a reasonable assumption myself and proceed.,Yes,Developer,Other (please specify),Communication flaws between the project and the customer,Spain,16,Yes,Approximately half on-site and half from home,Plan-driven,Weekly,I don't know,Yes,Changes in requirements not communicated,Unclear or unmeasurable non-functional requirements,Inconsistent requirements,Internal or external constraints are not considered,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Workshops and focus groups/ Design Thinking/ Usage data analysis (e.g. event logs),Architectural constraints/ Development process aspects/ Goals/ Quality properties of the system/ Rules , business rules)/ Stakeholders/ Usage scenarios,My colleagues told me not to spend any time on documentation.,Compatibility (e.g.- co-existence- interoperability)/ Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Portability (e.g.- adaptability- installability- replaceability)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics)/ External or internal constraints (e.g.- laws),3,Agree,Agree,Disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
4,3,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Telecommunication,Technically unfeasible requirements,Turkey,20,Yes,Approximately half on-site and half from home,Hybrid,Almost daily,Weekly,Yes,Incomplete or hidden requirements,Weak access to customer needs and / or (internal) business information,We do not have enough time to carry out tasks,No use of standard format for documenting requirements,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Observations,Goals/ Stakeholders,Use cases/ User stories,My project lead told me not to spend any time on documentation./ My project lead told me not to waste any (more) time on documentation.,Compatibility (e.g.- co-existence- interoperability)/ Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),1,Neutral,Agree,Disagree,We check the coverage of requirements with tests
3,3,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Other (please specify),Railway,Lack of communication between project team and end users,Spain,10,Yes,Mostly from home,Rather agile,Almost daily,Monthly,Yes,Weak knowledge about customer's application domain,Communication flaws between the project and the customer,Weak access to customer needs and / or (internal) business information,Targets are moving,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Interviews/ Analysis of existing documents,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Goals/ System behaviour/ Usage scenarios,Business process models/ Use cases,My project lead told me not to spend any time on documentation./ My project lead told me not to waste any (more) time on documentation.,Compatibility (e.g.- co-existence- interoperability)/ Portability (e.g.- adaptability- installability- replaceability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation),3,Disagree,Neutral,Agree,We do not align tests and requirements
4,5,Make a reasonable assumption myself and proceed.,Yes,Scrum Master,Public sector,Weak knowledge about customer's application domain,Spain,10,Yes,Almost completely on-site,Rather plan-driven,Weekly,Bi-weekly,Yes,Weak access to customer needs and / or (internal) business information,Lack of communication between project team and end users,Targets are moving,Underspecified requirements that are too abstract and allow for various interpretations,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ External experts,Architectural constraints/ Goals/ Quality properties of the system/ Acceptance criteria,Natural language / plain text/ Prototypes / user screens/ User stories/ Acceptance Criteria (Given-When-Then)/ Informal sketches / wireframes / mind maps,I didn't need to document it. I know it.,,3,Agree,Neutral,Strongly disagree,Testers participate in requirements reviews/ We define acceptance criteria and tests for requirements
5,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Architect,Logistics,Communication flaws between the project and the customer,Spain,14,Yes,Mostly from home,Hybrid,Weekly,Bi-weekly,Yes,Changes in requirements not communicated,Inconsistent requirements,Technically unfeasible requirements,Lack of commitment to shared goals within project,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ Observations/ Usage data analysis (e.g. event logs)/ Experimentation with users,Architectural constraints/ Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ System behaviour/ User interface(s),Natural language / plain text/ Prototypes / user screens/ State machines/ Structured lists of requirements/ Use cases/ User stories,My project lead told me not to bother.,Compatibility (e.g.- co-existence- interoperability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),3,Strongly agree,Strongly agree,Strongly disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
3,5,Does not apply.,Yes,Developer,Other (please specify),Gold plating (implementation of features without corresponding requirements),Spain,20,Yes,Almost completely from home,Rather agile,Almost daily,Almost daily,Yes,Targets are moving,Inconsistent requirements,Internal or external constraints are not considered,Requirements are not traceable,I don't know,I don't know,I don't know,I don't know,My project lead told me not to bother.,Compatibility (e.g.- co-existence- interoperability)/ Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Portability (e.g.- adaptability- installability- replaceability)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics)/ External or internal constraints (e.g.- laws),2,Disagree,Agree,Strongly disagree,We do not align tests and requirements
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,I do not document requirements.,Architect,Finance,We do not have enough time to carry out tasks,Turkey,12,Yes,Almost completely from home,Hybrid,Monthly,Almost daily,Yes,Communication flaws within the project team,Our team's responsibilities are unclear,No use of standard format for documenting requirements,Weak knowledge about customer's application domain,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ External experts/ Experimentation with users,Architectural constraints/ Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ Usage scenarios/ Internal or external constraints (e.g. laws)/ Acceptance criteria,My colleagues told me not to spend any time on documentation.,Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Safety (e.g.- freedom of risk for health or disaster),4,Neutral,Neutral,Neutral,We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements/ We derive tests from system models
4,3,Make a reasonable assumption myself and proceed.,No,Developer,Finance,Insufficient support by project lead,Turkey,25,Yes,Almost completely from home,Rather agile,Almost daily,Bi-weekly,Yes,No use of standard format for documenting requirements,Internal or external constraints are not considered,We do not have enough time to carry out tasks,Technically unfeasible requirements,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Risk analyses,Architectural constraints/ Development process aspects/ Functional properties of the system/ Goals/ Rules , business rules)/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,My colleagues told me not to waste any (more) time on documentation.,External or internal constraints (e.g.- laws),1,Neutral,Neutral,Disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests
4,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Project Lead / Project Manager,Aerospace,Inconsistent requirements,Spain,30,Yes,Approximately half on-site and half from home,Plan-driven,Weekly,Bi-weekly,Yes,Lack of communication between project team and end users,Requirements are not traceable,Targets are moving,Incomplete or hidden requirements,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Interviews/ Analysis of existing documents/ Risk analyses/ Workshops and focus groups/ Design Thinking,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Technical interfaces/ User interface(s),Structured lists of requirements,I didn't need to document it. I know it./ My colleagues told me not to bother.,Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),2,0,Disagree,Disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements/ We derive tests from system models
4,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Other (please specify),Gold plating (implementation of features without corresponding requirements),Spain,20,No,Almost completely from home,Agile,Weekly,Weekly,No,Changes in requirements not communicated,Incomplete or hidden requirements,Requirements are not traceable,Underspecified requirements that are too abstract and allow for various interpretations,Agile: we elicit and / or refine requirements in several iterations.,Prototyping/ Design Thinking/ Observations,Functional properties of the system,User stories,I didn't need to document it. I know it.,Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),4,Agree,Agree,Disagree,We do not align tests and requirements
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,I do not document requirements.,Marketing,Other (please specify),Communication flaws between the project and the customer,Spain,5,Yes,Mostly from home,Hybrid,Weekly,Never,Yes,We do not have enough time to carry out tasks,Lack of commitment to shared goals within project,Incomplete or hidden requirements,Gold plating (implementation of features without corresponding requirements),Other (please specify),Analysis of existing documents/ Prototyping/ Workshops and focus groups/ (Requirements) Reuse databases and guidelines/ External experts/ Observations,I don't know,Activity diagrams/ Business process models/ Natural language / plain text/ Prototypes / user screens/ Informal sketches / wireframes / mind maps,My project lead told me not to waste any (more) time on documentation.,Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Portability (e.g.- adaptability- installability- replaceability)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ External or internal constraints (e.g.- laws),4,Agree,Neutral,Strongly disagree,Testers participate in requirements reviews/ We derive tests from system models
3,4,Make a reasonable assumption myself and proceed.,No,Other (please specify),Healthcare,Our requirements engineers lack enthusiasm or commitment to do requirements analysis,Spain,15,No,Approximately half on-site and half from home,Hybrid,Almost daily,Other (please specify),No,Our team's responsibilities are unclear,Communication flaws within the project team,Changes in requirements not communicated,Weak knowledge about customer's application domain,Other (please specify),Interviews/ Risk analyses/ Prototyping,Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ Stakeholders/ System behaviour/ Internal or external constraints (e.g. laws),,Compatibility (e.g.- co-existence- interoperability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics)/ External or internal constraints (e.g.- laws),4,Strongly agree,Agree,Strongly disagree,Does not apply
5,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Other (please specify),Communication flaws between the project and the customer,Spain,30,No,Almost completely from home,Agile,Almost daily,Weekly,No,Communication flaws within the project team,Weak knowledge about customer's application domain,Lack of trust between our project team members,Lack of trust between our project team members and stakeholder or customer,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ Other,Functional properties of the system/ Quality properties of the system/ System behaviour/ Usage scenarios/ User interface(s)/ Acceptance criteria,Natural language / plain text/ Prototypes / user screens/ User stories/ Acceptance Criteria (Given-When-Then)/ Informal sketches / wireframes / mind maps,,Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),4,Strongly agree,Disagree,Disagree,We define acceptance criteria and tests for requirements
4,3,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Project Lead / Project Manager,Healthcare,Communication flaws within the project team,Spain,9,Yes,Almost completely from home,Rather agile,Weekly,Weekly,Yes,Technically unfeasible requirements,Lack of communication between project team and end users,We do not have enough time to carry out tasks,Inconsistent requirements,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ Design Thinking/ Experimentation with users,Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Stakeholders/ System behaviour/ Usage scenarios/ User interface(s),Natural language / plain text/ Prototypes / user screens/ Use cases/ User stories/ Informal sketches / wireframes / mind maps,My project lead told me not to bother./ My colleagues told me not to bother.,Compatibility (e.g.- co-existence- interoperability)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),3,Neutral,Agree,Disagree,We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements/ We derive tests from system models/ We do not align tests and requirements
3,2,Make a reasonable assumption myself and proceed.,I do not document requirements.,Architect,Other (please specify),Communication channels used in our project are ineffective,Spain,15,Yes,Approximately half on-site and half from home,Plan-driven,Weekly,I don't know,Yes,Communication flaws within the project team,Communication flaws between the project and the customer,Requirements are not traceable,Insufficient support by project lead,Other (please specify),Interviews/ Analysis of existing documents/ Prototyping/ Workshops and focus groups/ (Requirements) Reuse databases and guidelines/ External experts/ Experimentation with users,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Quality properties of the system/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ Internal or external constraints  laws),Natural language / plain text,My project lead told me not to spend any time on documentation./ My colleagues told me not to spend any time on documentation./ My colleagues told me not to waste any (more) time on documentation.,Compatibility (e.g.- co-existence- interoperability)/ Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Portability (e.g.- adaptability- installability- replaceability)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),1,Neutral,Agree,Disagree,We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements/ We derive tests from system models
