team_customer_relationship,team_communication,assumption,failed_documentation,role,industry,common_problem,country,team_size,project_distribution,work,project_method,meeting_frequency,user_feedback_frequency,external_partners,top2,top3,top4,top5,requirements_elicitation,elicitation_techniques,explicit_distinction,requirements_documentation,no_documentation_reasons,non_functional_requirements
5,5,Ask the customer/end user/or both what should be assumed before proceeding.,No,Business Analyst,Other (please specify),Targets are moving,Turkey,4,Yes,Almost completely from home,Agile,Bi-weekly,Bi-weekly,Yes,Incomplete or hidden requirements,Changes in requirements not communicated,Internal or external constraints are not considered,Please make a selection,Agile: we elicit and / or refine requirements in several iterations.,Interviews,Functional properties of the system/ Goals/ Rules , business rules)/ System behaviour/ Usage scenarios/ User interface(s)/ Acceptance criteria,Business process models/ Natural language / plain text/ Use case diagrams/ User stories/ Acceptance Criteria (Given-When-Then),
3,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Games engineering,Targets are moving,Turkey,25,Yes,Almost completely from home,Agile,Almost daily,Never,Yes,Communication flaws between the project and the customer,Underspecified requirements that are too abstract and allow for various interpretations,Incomplete or hidden requirements,Please make a selection,Agile: we elicit and / or refine requirements in several iterations.,Design Thinking/ Observations/ Usage data analysis (e.g. event logs),Architectural constraints/ Functional properties of the system/ Goals/ Acceptance criteria,User stories/ Acceptance Criteria (Given-When-Then),,Performance efficiency
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Finance,Weak knowledge about customer's application domain,Turkey,10,Yes,Almost completely from home,Agile,Almost daily,I don't know,Yes,Insufficient support by project lead,Communication flaws within the project team,Communication flaws between the project and the customer,Lack of commitment to shared goals within project,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Risk analyses/ Prototyping/ Observations/ Usage data analysis (e.g. event logs),Development process aspects/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,Activity diagrams/ Business process models/ Prototypes / user screens/ Sequence diagrams/ Structured lists of requirements/ Use case diagrams/ Use cases/ User stories/ Acceptance Criteria (Given-When-Then)/ Informal sketches / wireframes / mind maps,My project lead told me not to bother.
4,5,Make a reasonable assumption myself and proceed.,Yes,Developer,Other (please specify),Communication flaws between the project and the customer,Spain,16,Yes,Approximately half on-site and half from home,Plan-driven,Weekly,I don't know,Yes,Changes in requirements not communicated,Unclear or unmeasurable non-functional requirements,Inconsistent requirements,Internal or external constraints are not considered,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Workshops and focus groups/ Design Thinking/ Usage data analysis (e.g. event logs),Architectural constraints/ Development process aspects/ Goals/ Quality properties of the system/ Rules , business rules)/ Stakeholders/ Usage scenarios,Business process models/ Class diagrams/ Natural language / plain text/ Sequence diagrams/ Use cases,My colleagues told me not to spend any time on documentation.
4,3,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Telecommunication,Technically unfeasible requirements,Turkey,20,Yes,Approximately half on-site and half from home,Hybrid,Almost daily,Weekly,Yes,Incomplete or hidden requirements,Weak access to customer needs and / or (internal) business information,We do not have enough time to carry out tasks,No use of standard format for documenting requirements,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Observations,Goals/ Stakeholders,Use cases/ User stories,My project lead told me not to spend any time on documentation./ My project lead told me not to waste any (more) time on documentation.,Compatibility/ Maintainability/ Security/ Usability
3,3,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Other (please specify),Railway,Lack of communication between project team and end users,Spain,10,Yes,Mostly from home,Rather agile,Almost daily,Monthly,Yes,Weak knowledge about customer's application domain,Communication flaws between the project and the customer,Weak access to customer needs and / or (internal) business information,Targets are moving,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Interviews/ Analysis of existing documents,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Goals/ System behaviour/ Usage scenarios,Business process models/ Use cases,My project lead told me not to spend any time on documentation./ My project lead told me not to waste any (more) time on documentation.,Compatibility/ Portability/ Safety/ Security
4,5,Make a reasonable assumption myself and proceed.,Yes,Scrum Master,Public sector,Weak knowledge about customer's application domain,Spain,10,Yes,Almost completely on-site,Rather plan-driven,Weekly,Bi-weekly,Yes,Weak access to customer needs and / or (internal) business information,Lack of communication between project team and end users,Targets are moving,Underspecified requirements that are too abstract and allow for various interpretations,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ External experts,Architectural constraints/ Goals/ Quality properties of the system/ Acceptance criteria,Natural language / plain text/ Prototypes / user screens/ User stories/ Acceptance Criteria (Given-When-Then)/ Informal sketches / wireframes / mind maps,I didn't need to document it. I know it.,
5,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Architect,Logistics,Communication flaws between the project and the customer,Spain,14,Yes,Mostly from home,Hybrid,Weekly,Bi-weekly,Yes,Changes in requirements not communicated,Inconsistent requirements,Technically unfeasible requirements,Lack of commitment to shared goals within project,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ Observations/ Usage data analysis (e.g. event logs)/ Experimentation with users,Architectural constraints/ Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ System behaviour/ User interface(s),Natural language / plain text/ Prototypes / user screens/ State machines/ Structured lists of requirements/ Use cases/ User stories,My project lead told me not to bother.,Compatibility/ Performance efficiency/ Reliability/ Security/ Usability
3,5,Does not apply.,Yes,Developer,Other (please specify),Gold plating (implementation of features without corresponding requirements),Spain,20,Yes,Almost completely from home,Rather agile,Almost daily,Almost daily,Yes,Targets are moving,Inconsistent requirements,Internal or external constraints are not considered,Requirements are not traceable,I don't know,I don't know,I don't know,I don't know,My project lead told me not to bother.,Compatibility/ Maintainability/ Performance efficiency/ Portability/ Reliability/ Safety/ Security/ Usability/ External or internal constraints
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,I do not document requirements.,Architect,Finance,We do not have enough time to carry out tasks,Turkey,12,Yes,Almost completely from home,Hybrid,Monthly,Almost daily,Yes,Communication flaws within the project team,Our team's responsibilities are unclear,No use of standard format for documenting requirements,Weak knowledge about customer's application domain,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ External experts/ Experimentation with users,Architectural constraints/ Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ Usage scenarios/ Internal or external constraints (e.g. laws)/ Acceptance criteria,Use cases/ User stories/ Acceptance Criteria (Given-When-Then),My colleagues told me not to spend any time on documentation.
4,3,Make a reasonable assumption myself and proceed.,No,Developer,Finance,Insufficient support by project lead,Turkey,25,Yes,Almost completely from home,Rather agile,Almost daily,Bi-weekly,Yes,No use of standard format for documenting requirements,Internal or external constraints are not considered,We do not have enough time to carry out tasks,Technically unfeasible requirements,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Risk analyses,Architectural constraints/ Development process aspects/ Functional properties of the system/ Goals/ Rules , business rules)/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,I don't know,My colleagues told me not to waste any (more) time on documentation.
4,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Project Lead / Project Manager,Aerospace,Inconsistent requirements,Spain,30,Yes,Approximately half on-site and half from home,Plan-driven,Weekly,Bi-weekly,Yes,Lack of communication between project team and end users,Requirements are not traceable,Targets are moving,Incomplete or hidden requirements,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Interviews/ Analysis of existing documents/ Risk analyses/ Workshops and focus groups/ Design Thinking,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Technical interfaces/ User interface(s),Structured lists of requirements,I didn't need to document it. I know it./ My colleagues told me not to bother.,Maintainability/ Safety/ Security/ Usability
4,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Other (please specify),Gold plating (implementation of features without corresponding requirements),Spain,20,No,Almost completely from home,Agile,Weekly,Weekly,No,Changes in requirements not communicated,Incomplete or hidden requirements,Requirements are not traceable,Underspecified requirements that are too abstract and allow for various interpretations,Agile: we elicit and / or refine requirements in several iterations.,Prototyping/ Design Thinking/ Observations,Functional properties of the system,User stories,I didn't need to document it. I know it.,Usability
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,I do not document requirements.,Marketing,Other (please specify),Communication flaws between the project and the customer,Spain,5,Yes,Mostly from home,Hybrid,Weekly,Never,Yes,We do not have enough time to carry out tasks,Lack of commitment to shared goals within project,Incomplete or hidden requirements,Gold plating (implementation of features without corresponding requirements),Other (please specify),Analysis of existing documents/ Prototyping/ Workshops and focus groups/ (Requirements) Reuse databases and guidelines/ External experts/ Observations,I don't know,Activity diagrams/ Business process models/ Natural language / plain text/ Prototypes / user screens/ Informal sketches / wireframes / mind maps,My project lead told me not to waste any (more) time on documentation.,Maintainability/ Performance efficiency/ Portability/ Security/ External or internal constraints
3,4,Make a reasonable assumption myself and proceed.,No,Other (please specify),Healthcare,Our requirements engineers lack enthusiasm or commitment to do requirements analysis,Spain,15,No,Approximately half on-site and half from home,Hybrid,Almost daily,Other (please specify),No,Our team's responsibilities are unclear,Communication flaws within the project team,Changes in requirements not communicated,Weak knowledge about customer's application domain,Other (please specify),Interviews/ Risk analyses/ Prototyping,Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ Stakeholders/ System behaviour/ Internal or external constraints (e.g. laws),Natural language / plain text/ Structured lists of requirements,
5,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Other (please specify),Communication flaws between the project and the customer,Spain,30,No,Almost completely from home,Agile,Almost daily,Weekly,No,Communication flaws within the project team,Weak knowledge about customer's application domain,Lack of trust between our project team members,Lack of trust between our project team members and stakeholder or customer,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ Other,Functional properties of the system/ Quality properties of the system/ System behaviour/ Usage scenarios/ User interface(s)/ Acceptance criteria,Natural language / plain text/ Prototypes / user screens/ User stories/ Acceptance Criteria (Given-When-Then)/ Informal sketches / wireframes / mind maps,,Performance efficiency/ Security/ Usability
4,3,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Project Lead / Project Manager,Healthcare,Communication flaws within the project team,Spain,9,Yes,Almost completely from home,Rather agile,Weekly,Weekly,Yes,Technically unfeasible requirements,Lack of communication between project team and end users,We do not have enough time to carry out tasks,Inconsistent requirements,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ Design Thinking/ Experimentation with users,Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Stakeholders/ System behaviour/ Usage scenarios/ User interface(s),Natural language / plain text/ Prototypes / user screens/ Use cases/ User stories/ Informal sketches / wireframes / mind maps,My project lead told me not to bother./ My colleagues told me not to bother.,Compatibility/ Reliability/ Usability
3,2,Make a reasonable assumption myself and proceed.,I do not document requirements.,Architect,Other (please specify),Communication channels used in our project are ineffective,Spain,15,Yes,Approximately half on-site and half from home,Plan-driven,Weekly,I don't know,Yes,Communication flaws within the project team,Communication flaws between the project and the customer,Requirements are not traceable,Insufficient support by project lead,Other (please specify),Interviews/ Analysis of existing documents/ Prototyping/ Workshops and focus groups/ (Requirements) Reuse databases and guidelines/ External experts/ Experimentation with users,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Quality properties of the system/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ Internal or external constraints  laws),Natural language / plain text,My project lead told me not to spend any time on documentation./ My colleagues told me not to spend any time on documentation./ My colleagues told me not to waste any (more) time on documentation.,Compatibility/ Maintainability/ Portability/ Reliability/ Safety/ Security/ Usability
4,4,Make a reasonable assumption myself and proceed.,I do not document requirements.,Architect,Other (please specify),Targets are moving,Spain,400,No,Almost completely from home,Agile,Weekly,Monthly,No,Underspecified requirements that are too abstract and allow for various interpretations,Communication flaws between the project and the customer,We do not have enough time to carry out tasks,Gold plating (implementation of features without corresponding requirements),Agile: we elicit and / or refine requirements in several iterations.,Prototyping/ Experimentation with users/ Other,Stakeholders/ Usage scenarios/ User interface(s)/ Acceptance criteria,Natural language / plain text/ Prototypes / user screens,I didn't need to document it. I know it.,Performance efficiency/ Security
2,4,Make a reasonable assumption myself and proceed.,No,Developer,e-Commerce,Communication flaws between the project and the customer,Portugal,10,No,Almost completely from home,Agile,Almost daily,Monthly,No,Lack of communication between project team and end users,Incomplete or hidden requirements,Targets are moving,Weak knowledge about customer's application domain,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ Design Thinking/ Observations,Architectural constraints/ Goals/ Rules , business rules),Natural language / plain text/ Informal sketches / wireframes / mind maps,I didn't need to document it. I know it./ I knew colleagues would complain / hate / ridicule me./ My project lead told me not to bother./ My project lead told me not to spend any time on documentation./ My project lead told me not to waste any (more) time on documentation./ My colleagues told me not to bother./ My colleagues told me not to spend any time on documentation./ My colleagues told me not to waste any (more) time on documentation.
3,3,Make a reasonable assumption myself and proceed.,I do not document requirements.,Other (please specify),Avionics,Communication flaws between the project and the customer,Turkey,10,Yes,Almost completely on-site,I don't know,Weekly,I don't know,Yes,Communication channels used in our project are ineffective,Changes in requirements not communicated,Incomplete or hidden requirements,Targets are moving,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Analysis of existing documents,Functional properties of the system/ Goals/ Stakeholders/ Acceptance criteria,Natural language / plain text/ Structured lists of requirements/ Acceptance Criteria (Given-When-Then),,Performance efficiency/ Safety/ Security/ Usability
4,5,Make a reasonable assumption myself and proceed.,Yes,Developer,Energy,Communication flaws between the project and the customer,Nigeria,10,No,Approximately half on-site and half from home,Plan-driven,Bi-weekly,Never,No,Communication channels used in our project are ineffective,Unclear or unmeasurable non-functional requirements,Inconsistent requirements,Technically unfeasible requirements,I don't know,I don't know,System behaviour,I don't know,I didn't need to document it. I know it./ I knew colleagues would complain / hate / ridicule me.,
3,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Business Analyst,Manufacturing,Changes in requirements not communicated,Turkey,6,Yes,Mostly from home,Hybrid,Bi-weekly,Monthly,Yes,Inconsistent requirements,Targets are moving,Weak knowledge about customer's application domain,Problems with terminology,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Risk analyses/ (Requirements) Reuse databases and guidelines/ External experts/ Observations,Functional properties of the system/ Technical interfaces/ Usage scenarios/ User interface(s),Business process models,My project lead told me not to waste any (more) time on documentation.,Compatibility/ Performance efficiency/ Usability
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Finance,Technically unfeasible requirements,Nigeria,20,Yes,Mostly from home,Hybrid,Almost daily,Almost daily,Yes,Inconsistent requirements,Incomplete or hidden requirements,Targets are moving,No use of standard format for documenting requirements,Agile: we elicit and / or refine requirements in several iterations.,Prototyping/ Design Thinking/ Experimentation with users,Development process aspects/ Technical interfaces/ Usage scenarios,Structured lists of requirements/ Use case diagrams/ Acceptance Criteria (Given-When-Then),I didn't need to document it. I know it.,Maintainability/ Reliability/ Security
3,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Business Analyst,Manufacturing,Communication flaws within the project team,Turkey,3,No,Approximately half on-site and half from home,Hybrid,Bi-weekly,Monthly,No,Unclear or unmeasurable non-functional requirements,Changes in requirements not communicated,Weak knowledge about customer's application domain,Weak access to customer needs and / or (internal) business information,I don't know,Risk analyses,Goals,I don't know,My project lead told me not to bother.,Usability
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,No,Product Manager,Agriculture,We do not have enough time to carry out tasks,Nigeria,4,No,Mostly from home,Plan-driven,Weekly,Almost daily,No,No use of standard format for documenting requirements,Communication flaws between the project and the customer,Language barriers,Problems with terminology,Agile: we elicit and / or refine requirements in several iterations.,Usage data analysis (e.g. event logs),Development process aspects/ Goals/ Rules , business rules),Acceptance Criteria (Given-When-Then),I didn't need to document it. I know it.
5,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Agriculture,Problems with terminology,Nigeria,12,No,Almost completely on-site,Agile,Bi-weekly,Weekly,No,Requirements are not traceable,Communication channels used in our project are ineffective,Insufficient support by project lead,Changes in requirements not communicated,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Prototyping/ Workshops and focus groups/ Design Thinking/ Observations,Goals/ Quality properties of the system/ Rules , business rules)/ Technical interfaces/ Usage scenarios/ User interface(s)/ Acceptance criteria,Activity diagrams/ Class diagrams/ Goal models/ Prototypes / user screens/ Sequence diagrams/ Use case diagrams/ Use cases/ User stories/ Informal sketches / wireframes / mind maps,I didn't need to document it. I know it.
4,4,Make a reasonable assumption myself and proceed.,Yes,Project Lead / Project Manager,e-Commerce,Inconsistent requirements,Turkey,6,No,Almost completely from home,Rather agile,Bi-weekly,Bi-weekly,No,No use of standard format for documenting requirements,Incomplete or hidden requirements,Weak access to customer needs and / or (internal) business information,Unclear or unmeasurable non-functional requirements,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ External experts/ Observations,Architectural constraints/ System behaviour/ Usage scenarios/ User interface(s),Activity diagrams/ Prototypes / user screens/ Sequence diagrams/ State machines/ Use case diagrams/ Informal sketches / wireframes / mind maps,I didn't need to document it. I know it./ I knew colleagues would complain / hate / ridicule me./ My project lead told me not to bother./ My project lead told me not to spend any time on documentation./ My project lead told me not to waste any (more) time on documentation./ My colleagues told me not to bother./ My colleagues told me not to spend any time on documentation./ My colleagues told me not to waste any (more) time on documentation.,Maintainability
5,5,Make a reasonable assumption myself and proceed.,No,Developer,Education,Lack of communication between project team and end users,Turkey,1,Yes,Approximately half on-site and half from home,Plan-driven,Weekly,I don't know,Yes,Lack of trust between our project team members and stakeholder or customer,Insufficient support by project lead,Communication channels used in our project are ineffective,Technically unfeasible requirements,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Workshops and focus groups/ Design Thinking/ Observations/ Experimentation with users,Architectural constraints/ Functional properties of the system/ Goals/ Rules , business rules),Sequence diagrams/ Use cases,I didn't need to document it. I know it.
4,5,Ask the customer/end user/or both what should be assumed before proceeding.,I do not document requirements.,Business Analyst,Telecommunication,Internal or external constraints are not considered,Turkey,4,Yes,Almost completely from home,Agile,Almost daily,Almost daily,Yes,Incomplete or hidden requirements,Gold plating (implementation of features without corresponding requirements),We do not have enough time to carry out tasks,Unclear or unmeasurable non-functional requirements,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Risk analyses/ (Requirements) Reuse databases and guidelines/ Design Thinking/ Observations/ Usage data analysis (e.g. event logs)/ Experimentation with users,Architectural constraints/ Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,Activity diagrams/ Prototypes / user screens/ Structured lists of requirements/ Use case diagrams/ Acceptance Criteria (Given-When-Then),
4,5,Ask the customer/end user/or both what should be assumed before proceeding.,No,Product Manager,Human resources,Our team's responsibilities are unclear,Spain,100,No,Mostly from home,Rather agile,Almost daily,Bi-weekly,No,Lack of communication between project team and end users,Weak knowledge about customer's application domain,Lack of trust between our project team members,Weak access to customer needs and / or (internal) business information,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ Workshops and focus groups/ Design Thinking/ Usage data analysis (e.g. event logs)/ Experimentation with users,Goals/ Stakeholders/ Usage scenarios/ Acceptance criteria,Prototypes / user screens/ User stories/ Acceptance Criteria (Given-When-Then),,
5,4,Make a reasonable assumption myself and proceed.,Yes,Product Manager,Finance,Inconsistent requirements,Estonia,5,No,Mostly on-site,Hybrid,Bi-weekly,Monthly,No,Changes in requirements not communicated,We do not have enough time to carry out tasks,Weak access to customer needs and / or (internal) business information,Weak knowledge about customer's application domain,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Workshops and focus groups/ Usage data analysis (e.g. event logs),Functional properties of the system/ Goals/ Usage scenarios,Business process models/ Natural language / plain text/ User stories,,Compatibility/ Usability/ External or internal constraints
